source,target,evidence,iLIS,fdr
GstD8,GstE6,diopt4,0.7871,FDR 1
GstD8,GstE5,diopt4,0.7832,FDR 1
GstD8,GstE3,diopt4,0.7794,FDR 1
GstD8,GstE12,diopt4,0.7782,FDR 1
GstD8,GstE10,diopt4,0.7754,FDR 1
GstD8,GstE14,diopt4,0.7647,FDR 1
GstD8,GstT1,diopt4,0.7641,FDR 1
GstD8,gfzf,diopt4,0.7576,FDR 1
GstD8,GstE11,diopt4,0.7396,FDR 1
GstD8,GstT2,diopt4,0.7161,FDR 1
GstD8,GstT3,diopt4,0.6843,FDR 1
GstD8,GstT4,diopt4,0.5766,FDR 1
GstD8,GstO3,diopt4,0.4722,FDR 5
GstD4,GstE1,diopt4,0.8024,FDR 1
GstD4,GstD2,both,0.8024,FDR 1
GstD4,GstD11,both,0.8005,FDR 1
GstD4,GstE4,diopt4,0.7997,FDR 1
GstD4,GstE9,diopt4,0.7977,FDR 1
GstD4,GstE6,diopt4,0.7965,FDR 1
GstD4,GstE8,diopt4,0.7964,FDR 1
GstD4,GstE7,diopt4,0.796,FDR 1
GstD4,GstE2,diopt4,0.7953,FDR 1
GstD4,GstE12,diopt4,0.7925,FDR 1
GstD4,GstD6,both,0.7915,FDR 1
GstD4,GstE13,both,0.7914,FDR 1
GstD4,GstD7,both,0.791,FDR 1
GstD4,GstE5,diopt4,0.7899,FDR 1
GstD4,GstE3,diopt4,0.7834,FDR 1
GstD4,GstE10,diopt4,0.783,FDR 1
GstD4,GstE14,diopt4,0.7797,FDR 1
GstD4,GstE11,both,0.7595,FDR 1
GstD4,gfzf,diopt4,0.7586,FDR 1
GstD4,GstT1,diopt4,0.757,FDR 1
GstD4,GstT4,diopt4,0.7463,FDR 1
GstD4,GstT2,diopt4,0.7197,FDR 1
GstD4,GstT3,diopt4,0.7047,FDR 1
GstD4,GstO2,diopt4,0.4114,FDR 5
GstD4,GstO3,diopt4,0.3856,FDR 5
GstD4,GstO1,diopt4,0.3821,FDR 5
GstD2,GstE1,diopt4,0.7983,FDR 1
GstD2,GstE8,diopt4,0.7966,FDR 1
GstD2,GstD11,diopt4,0.7964,FDR 1
GstD2,GstE9,diopt4,0.7953,FDR 1
GstD2,GstE4,diopt4,0.7917,FDR 1
GstD2,GstE2,diopt4,0.7899,FDR 1
GstD2,GstE6,diopt4,0.7897,FDR 1
GstD2,GstD7,both,0.7896,FDR 1
GstD2,GstD6,diopt4,0.7875,FDR 1
GstD2,GstE13,diopt4,0.7869,FDR 1
GstD2,GstE7,diopt4,0.7864,FDR 1
GstD2,GstE5,diopt4,0.7858,FDR 1
GstD2,GstE3,diopt4,0.7815,FDR 1
GstD2,GstE10,diopt4,0.7788,FDR 1
GstD2,GstE14,diopt4,0.7728,FDR 1
GstD2,GstE12,diopt4,0.7723,FDR 1
GstD2,GstT1,diopt4,0.7658,FDR 1
GstD2,gfzf,diopt4,0.7514,FDR 1
GstD2,GstE11,diopt4,0.746,FDR 1
GstD2,GstT3,diopt4,0.6759,FDR 1
GstD2,GstT2,diopt4,0.6723,FDR 1
GstD2,GstT4,diopt4,0.6668,FDR 1
GstD2,GstO3,diopt4,0.2737,FDR 10
GstD2,Amt,diopt4,0.2638,FDR 10
GstE5,GstE9,diopt4,0.8139,FDR 1
GstE5,GstE6,both,0.8125,FDR 1
GstE5,GstE7,both,0.8105,FDR 1
GstE5,GstE8,both,0.8103,FDR 1
GstE5,GstE4,diopt4,0.8093,FDR 1
GstE5,GstE12,diopt4,0.7933,FDR 1
GstE5,GstE10,diopt4,0.7926,FDR 1
GstE5,GstE3,diopt4,0.7922,FDR 1
GstE5,GstE1,diopt4,0.7919,FDR 1
GstE5,GstE2,diopt4,0.7832,FDR 1
GstE5,GstD11,diopt4,0.7822,FDR 1
GstE5,GstE13,diopt4,0.7816,FDR 1
GstE5,GstD6,diopt4,0.7793,FDR 1
GstE5,GstD7,diopt4,0.7758,FDR 1
GstE5,gfzf,diopt4,0.7448,FDR 1
GstE5,GstE11,diopt4,0.7062,FDR 1
GstE5,GstO2,diopt4,0.6736,FDR 1
GstE5,GstO1,diopt4,0.6407,FDR 1
GstE5,GstO3,diopt4,0.6335,FDR 1
GstE5,GstT1,diopt4,0.505,FDR 5
GstE5,se,diopt4,0.4569,FDR 5
GstE5,GstE14,diopt4,0.3727,FDR 5
GstE5,GstT3,diopt4,0.3572,FDR 5
GstE5,GstT2,diopt4,0.336,FDR 10
GstE9,GstE8,diopt4,0.8112,FDR 1
GstE9,GstE7,diopt4,0.8103,FDR 1
GstE9,GstE4,diopt4,0.8078,FDR 1
GstE9,GstE1,diopt4,0.8077,FDR 1
GstE9,GstE6,diopt4,0.8062,FDR 1
GstE9,GstD11,diopt4,0.8022,FDR 1
GstE9,GstE12,diopt4,0.8007,FDR 1
GstE9,GstE10,diopt4,0.7982,FDR 1
GstE9,GstE2,diopt4,0.7977,FDR 1
GstE9,GstE3,diopt4,0.7877,FDR 1
GstE9,GstD7,diopt4,0.7842,FDR 1
GstE9,GstE13,diopt4,0.783,FDR 1
GstE9,GstD6,diopt4,0.7796,FDR 1
GstE9,gfzf,diopt4,0.7369,FDR 1
GstE9,GstE11,diopt4,0.649,FDR 1
GstE9,GstT1,diopt4,0.6432,FDR 1
GstE9,GstT3,diopt4,0.6092,FDR 1
GstE9,GstO3,diopt4,0.582,FDR 1
GstE9,GstO2,diopt4,0.5506,FDR 5
GstE9,GstE14,diopt4,0.5148,FDR 5
GstE9,GstT2,diopt4,0.4157,FDR 5
GstE9,GstO1,diopt4,0.3622,FDR 5
GstD11,GstE1,diopt4,0.8031,FDR 1
GstD11,GstE13,diopt4,0.7948,FDR 1
GstD11,GstE4,diopt4,0.7934,FDR 1
GstD11,GstE8,diopt4,0.7921,FDR 1
GstD11,GstE3,diopt4,0.7904,FDR 1
GstD11,GstE2,diopt4,0.7883,FDR 1
GstD11,GstD6,diopt4,0.7867,FDR 1
GstD11,GstD7,diopt4,0.7843,FDR 1
GstD11,GstE7,diopt4,0.783,FDR 1
GstD11,GstE6,diopt4,0.7795,FDR 1
GstD11,GstE14,diopt4,0.777,FDR 1
GstD11,GstE10,diopt4,0.774,FDR 1
GstD11,GstE12,diopt4,0.773,FDR 1
GstD11,gfzf,diopt4,0.7604,FDR 1
GstD11,GstE11,both,0.7117,FDR 1
GstD11,GstT1,diopt4,0.709,FDR 1
GstD11,GstT4,diopt4,0.6318,FDR 1
GstD11,GstT3,diopt4,0.5796,FDR 1
GstD11,GstT2,diopt4,0.5701,FDR 1
GstD11,Swip-1,fly,0.4088,FDR 5
GstD11,GstO3,diopt4,0.3214,FDR 10
GstD11,se,diopt4,0.2855,FDR 10
GstE7,GstE8,both,0.8126,FDR 1
GstE7,GstE4,diopt4,0.8093,FDR 1
GstE7,GstE6,both,0.8073,FDR 1
GstE7,GstE1,diopt4,0.7962,FDR 1
GstE7,GstE10,diopt4,0.7945,FDR 1
GstE7,GstE3,diopt4,0.7945,FDR 1
GstE7,GstE12,diopt4,0.7851,FDR 1
GstE7,GstE2,diopt4,0.7848,FDR 1
GstE7,GstD6,diopt4,0.7803,FDR 1
GstE7,GstD7,diopt4,0.7792,FDR 1
GstE7,GstE13,diopt4,0.7773,FDR 1
GstE7,gfzf,diopt4,0.7479,FDR 1
GstE7,GstE11,diopt4,0.6791,FDR 1
GstE7,GstO2,diopt4,0.6787,FDR 1
GstE7,GstO1,diopt4,0.6474,FDR 1
GstE7,GstO3,diopt4,0.5917,FDR 1
GstE7,GstT1,diopt4,0.5569,FDR 1
GstE7,GstT2,diopt4,0.4675,FDR 5
GstE7,GstT3,diopt4,0.4329,FDR 5
GstE7,se,diopt4,0.367,FDR 5
GstE8,GstE4,diopt4,0.8091,FDR 1
GstE8,GstE6,diopt4,0.8014,FDR 1
GstE8,GstE1,diopt4,0.7985,FDR 1
GstE8,GstE2,diopt4,0.7975,FDR 1
GstE8,GstE10,diopt4,0.7968,FDR 1
GstE8,GstE3,diopt4,0.7915,FDR 1
GstE8,GstE12,diopt4,0.7888,FDR 1
GstE8,GstD7,diopt4,0.7874,FDR 1
GstE8,GstD6,diopt4,0.7869,FDR 1
GstE8,GstE13,diopt4,0.7848,FDR 1
GstE8,GstE11,diopt4,0.7377,FDR 1
GstE8,gfzf,diopt4,0.7301,FDR 1
GstE8,GstO2,diopt4,0.6776,FDR 1
GstE8,GstO1,diopt4,0.6308,FDR 1
GstE8,GstE14,diopt4,0.6219,FDR 1
GstE8,GstT1,diopt4,0.5322,FDR 5
GstE8,GstO3,diopt4,0.529,FDR 5
GstE8,GstT3,diopt4,0.3641,FDR 5
GstE8,se,diopt4,0.3222,FDR 10
GstE8,GstT2,diopt4,0.3101,FDR 10
GstE8,Hsp70Aa,both,0.2402,FDR 10
GstE6,GstE4,diopt4,0.8051,FDR 1
GstE6,GstE12,both,0.7971,FDR 1
GstE6,GstE1,diopt4,0.7938,FDR 1
GstE6,GstE3,diopt4,0.7907,FDR 1
GstE6,GstE10,diopt4,0.7887,FDR 1
GstE6,GstE2,diopt4,0.7872,FDR 1
GstE6,GstD6,diopt4,0.7842,FDR 1
GstE6,GstD7,diopt4,0.7826,FDR 1
GstE6,GstE13,diopt4,0.756,FDR 1
GstE6,gfzf,diopt4,0.7499,FDR 1
GstE6,GstO2,diopt4,0.6996,FDR 1
GstE6,GstE11,diopt4,0.6907,FDR 1
GstE6,GstO3,both,0.661,FDR 1
GstE6,GstO1,diopt4,0.613,FDR 1
GstE6,GstT3,diopt4,0.5717,FDR 1
GstE6,GstT1,both,0.491,FDR 5
GstE6,se,diopt4,0.4547,FDR 5
GstE6,GstT2,diopt4,0.4193,FDR 5
GstE6,RpLP0,fly,0.3888,FDR 5
GstE6,HmgD,both,0.3313,FDR 10
GstE6,CG6891,fly,0.3255,FDR 10
GstE6,GstE14,diopt4,0.3144,FDR 10
GstE6,CG5174,fly,0.2433,FDR 10
GstE1,GstE4,diopt4,0.7974,FDR 1
GstE1,GstD7,both,0.791,FDR 1
GstE1,GstE13,diopt4,0.7891,FDR 1
GstE1,GstE12,diopt4,0.7884,FDR 1
GstE1,GstE2,diopt4,0.7867,FDR 1
GstE1,GstD6,diopt4,0.7866,FDR 1
GstE1,GstE10,both,0.7855,FDR 1
GstE1,GstE3,diopt4,0.777,FDR 1
GstE1,GstE11,diopt4,0.7665,FDR 1
GstE1,GstE14,diopt4,0.7635,FDR 1
GstE1,gfzf,diopt4,0.7563,FDR 1
GstE1,GstT1,diopt4,0.7115,FDR 1
GstE1,GstT2,diopt4,0.6825,FDR 1
GstE1,GstO3,diopt4,0.4789,FDR 5
GstE1,GstO2,diopt4,0.4001,FDR 5
GstE1,GstO1,diopt4,0.287,FDR 10
His3:CG33848,His4:CG33891,diopt4,0.8112,FDR 1
His3:CG33848,Su(var)205,diopt4,0.6187,FDR 1
His3:CG33848,His3.3A,diopt4,0.6174,FDR 1
His3:CG33848,His3.3B,diopt4,0.6146,FDR 1
His3:CG33848,Pc,diopt4,0.3324,FDR 10
His4:CG33891,His3.3B,diopt4,0.8078,FDR 1
His4:CG33891,His3.3A,diopt4,0.8078,FDR 1
His4:CG33891,His3:CG33866,diopt4,0.801,FDR 1
His4:CG33891,His3:CG33839,diopt4,0.801,FDR 1
His2A:CG31618,His2B:CG17949,both,0.811,FDR 1
His2A:CG31618,His4:CG31611,both,0.707,FDR 1
His2A:CG31618,His2Av,both,0.651,FDR 1
His2B:CG17949,His2Av,both,0.8059,FDR 1
His2B:CG17949,His4:CG31611,both,0.6166,FDR 1
His2B:CG17949,Jabba,fly,0.5018,FDR 5
GstT1,GstT2,diopt4,0.8099,FDR 1
GstT1,GstT3,diopt4,0.7983,FDR 1
GstT1,GstT4,diopt4,0.7674,FDR 1
GstT1,GstD7,diopt4,0.7624,FDR 1
GstT1,GstD6,diopt4,0.7524,FDR 1
GstT1,GstE3,both,0.7378,FDR 1
GstT1,GstE13,diopt4,0.727,FDR 1
GstT1,gfzf,diopt4,0.7169,FDR 1
GstT1,GstE2,diopt4,0.6997,FDR 1
GstT1,GstE12,diopt4,0.6448,FDR 1
GstT1,GstE4,diopt4,0.6374,FDR 1
GstT1,GstE10,diopt4,0.6011,FDR 1
GstT1,GstE11,diopt4,0.4956,FDR 5
GstT2,GstT3,diopt4,0.8013,FDR 1
GstT2,GstT4,diopt4,0.7581,FDR 1
GstT2,GstD7,diopt4,0.7202,FDR 1
GstT2,gfzf,diopt4,0.706,FDR 1
GstT2,GstE3,diopt4,0.7058,FDR 1
GstT2,GstD6,diopt4,0.7023,FDR 1
GstT2,GstE2,diopt4,0.668,FDR 1
GstT2,GstE12,diopt4,0.6074,FDR 1
GstT2,GstE11,diopt4,0.6052,FDR 1
GstT2,GstE13,diopt4,0.5764,FDR 1
GstT2,GstE10,diopt4,0.5413,FDR 5
GstT2,GstE4,diopt4,0.5335,FDR 5
GstE4,GstE2,diopt4,0.7994,FDR 1
GstE4,GstE10,diopt4,0.799,FDR 1
GstE4,GstE12,diopt4,0.7931,FDR 1
GstE4,GstE3,diopt4,0.7873,FDR 1
GstE4,GstE13,diopt4,0.785,FDR 1
GstE4,GstD7,diopt4,0.7834,FDR 1
GstE4,GstD6,diopt4,0.7804,FDR 1
GstE4,gfzf,diopt4,0.7525,FDR 1
GstE4,GstE11,diopt4,0.7305,FDR 1
GstE4,GstE14,diopt4,0.7145,FDR 1
GstE4,GstO2,diopt4,0.7068,FDR 1
GstE4,GstO1,diopt4,0.6284,FDR 1
GstE4,GstO3,diopt4,0.6029,FDR 1
GstE4,se,diopt4,0.4493,FDR 5
GstE4,GstT3,diopt4,0.3721,FDR 5
Mes4,Chrac-14,both,0.8079,FDR 1
Mes4,NC2beta,fly,0.7808,FDR 1
Mes4,CG9393,fly,0.5128,FDR 5
Mes4,d4,fly,0.4638,FDR 5
Mes4,Ada3,fly,0.3748,FDR 5
Mes4,Atac2,both,0.3247,FDR 10
Chrac-14,Chrac-16,both,0.7806,FDR 1
Chrac-14,NC2beta,both,0.6731,FDR 1
Chrac-14,cid,fly,0.6379,FDR 1
Chrac-14,D12,both,0.6091,FDR 1
Chrac-14,Mocs2B,fly,0.402,FDR 5
Chrac-14,Sgf29,fly,0.3162,FDR 10
His3.3B,asf1,both,0.7234,FDR 1
His3.3B,His3:CG33839,diopt4,0.6146,FDR 1
His3.3B,His3:CG33866,diopt4,0.6146,FDR 1
His3.3B,Daxx,both,0.5314,FDR 5
His3.3B,CG4270,diopt4,0.3093,FDR 10
His3.3A,asf1,both,0.7234,FDR 1
His3.3A,His3:CG33866,diopt4,0.6146,FDR 1
His3.3A,His3:CG33839,diopt4,0.6146,FDR 1
His3.3A,CG8289,both,0.5253,FDR 5
His3.3A,tsh,diopt4,0.3492,FDR 5
His3.3A,CG4270,diopt4,0.3429,FDR 5
His3.3A,Caf1-180,both,0.2847,FDR 10
His3.3A,Phf7,both,0.2767,FDR 10
SdhC,SdhD,diopt4,0.8063,FDR 1
SdhC,SdhB,diopt4,0.7222,FDR 1
SdhC,SdhBL,diopt4,0.716,FDR 1
SdhC,CG6629,diopt4,0.6784,FDR 1
SdhC,SdhA,diopt4,0.3826,FDR 5
SdhC,SdhAL,diopt4,0.269,FDR 10
SdhD,CG6629,diopt4,0.6863,FDR 1
SdhD,SdhBL,diopt4,0.629,FDR 1
SdhD,SdhB,diopt4,0.5985,FDR 1
SdhD,AdipoR,diopt4,0.4782,FDR 5
SdhD,CG31775,fly,0.2312,FDR 10
SdhD,CG5172,fly,0.2238,FDR 10
Srp14,Ras85D,diopt4,0.3138,FDR 10
His2Av,His4:CG31611,both,0.6234,FDR 1
His2Av,Rga,diopt4,0.4639,FDR 5
His2Av,CG5111,fly,0.4623,FDR 5
His2Av,mu2,fly,0.4555,FDR 5
His2Av,Jabba,fly,0.4072,FDR 5
His2Av,Yeti,both,0.3257,FDR 10
His2Av,CG14543,both,0.3013,FDR 10
His2Av,Dp,fly,0.2752,FDR 10
GstE13,GstE3,diopt4,0.8002,FDR 1
GstE13,GstD6,diopt4,0.7792,FDR 1
GstE13,GstD7,diopt4,0.7788,FDR 1
GstE13,GstE12,diopt4,0.7678,FDR 1
GstE13,GstE2,diopt4,0.7655,FDR 1
GstE13,gfzf,diopt4,0.7574,FDR 1
GstE13,GstE10,diopt4,0.7369,FDR 1
GstE13,GstE11,diopt4,0.7117,FDR 1
GstE13,GstE14,diopt4,0.5467,FDR 5
GstE13,GstT3,diopt4,0.2571,FDR 10
GstE2,GstD7,diopt4,0.7823,FDR 1
GstE2,GstD6,diopt4,0.7792,FDR 1
GstE2,GstE10,diopt4,0.7738,FDR 1
GstE2,GstE12,diopt4,0.7715,FDR 1
GstE2,GstE3,diopt4,0.7596,FDR 1
GstE2,gfzf,diopt4,0.7411,FDR 1
GstE2,GstE11,diopt4,0.7376,FDR 1
GstE2,GstE14,diopt4,0.7309,FDR 1
GstE2,GstO2,diopt4,0.6987,FDR 1
GstE2,GstT3,diopt4,0.6261,FDR 1
GstE2,GstO3,diopt4,0.5798,FDR 1
GstE2,GstO1,diopt4,0.5563,FDR 1
GstE2,se,diopt4,0.2751,FDR 10
GstD6,GstD7,diopt4,0.7769,FDR 1
GstD6,GstE3,diopt4,0.772,FDR 1
GstD6,GstE12,diopt4,0.7712,FDR 1
GstD6,GstE10,diopt4,0.7664,FDR 1
GstD6,GstE14,diopt4,0.7543,FDR 1
GstD6,gfzf,diopt4,0.7507,FDR 1
GstD6,GstE11,diopt4,0.732,FDR 1
GstD6,GstT3,diopt4,0.6377,FDR 1
GstD6,GstO2,diopt4,0.5407,FDR 5
GstD6,GstT4,diopt4,0.4357,FDR 5
GstD7,GstE10,diopt4,0.7738,FDR 1
GstD7,GstE3,diopt4,0.771,FDR 1
GstD7,GstE12,diopt4,0.7679,FDR 1
GstD7,GstE14,diopt4,0.7613,FDR 1
GstD7,gfzf,diopt4,0.7476,FDR 1
GstD7,GstE11,diopt4,0.7402,FDR 1
GstD7,GstT3,diopt4,0.6783,FDR 1
GstD7,GstT4,diopt4,0.6055,FDR 1
GstD7,GstO3,diopt4,0.4586,FDR 5
GstD7,GstO2,diopt4,0.3729,FDR 5
GstD7,GstO1,diopt4,0.3182,FDR 10
nht,gek,diopt4,0.2946,FDR 10
nht,bon,diopt4,0.2323,FDR 10
Nf-YB,Nf-YC,both,0.802,FDR 1
Nf-YB,Stam,diopt4,0.6432,FDR 1
Nf-YB,Nf-YA,both,0.6229,FDR 1
Nf-YB,gwl,diopt4,0.5168,FDR 5
Nf-YB,Cdk5,diopt4,0.3958,FDR 5
Nf-YB,S6k,diopt4,0.277,FDR 10
Nf-YB,hzg,diopt4,0.2397,FDR 10
Nf-YC,Nf-YA,both,0.578,FDR 1
Nf-YC,Pak,diopt4,0.4833,FDR 5
Nf-YC,Pak3,diopt4,0.4282,FDR 5
Nf-YC,sgg,diopt4,0.4204,FDR 5
Nf-YC,lwr,fly,0.395,FDR 5
Nf-YC,dco,diopt4,0.3883,FDR 5
Nf-YC,CG7094,diopt4,0.3881,FDR 5
Nf-YC,Pka-C1,diopt4,0.3579,FDR 5
Nf-YC,CG12147,diopt4,0.2988,FDR 10
Nf-YC,CkIalpha,diopt4,0.2985,FDR 10
Nf-YC,Dyrk3,diopt4,0.2651,FDR 10
Nf-YC,QC,diopt4,0.2398,FDR 10
Nf-YC,Aduk,diopt4,0.2315,FDR 10
Nf-YC,Psa,diopt4,0.228,FDR 10
GstT3,GstT4,diopt4,0.7501,FDR 1
GstT3,gfzf,diopt4,0.6797,FDR 1
GstT3,GstE10,diopt4,0.6502,FDR 1
GstT3,GstE3,diopt4,0.603,FDR 1
GstT3,GstE12,diopt4,0.3103,FDR 10
PGRP-LB,PGRP-LC,fly,0.2454,FDR 10
PGRP-LB,Lam,fly,0.2436,FDR 10
